handle,total_posts,school_count,flags,schools
"@astoria_activewear",1,1,"","University of Nebraska"
"@athleta",1,1,"","Auburn University"
"@athlete_asset_protection",1,1,"","Baylor"
"@athletebrands",1,1,"","Baylor"
"@athleteinnovations",1,1,"","University of Central Florida"
"@athletenarrative",1,1,"","University of Virginia"
"@athletic.minds",1,1,"","University of Texas at San Antonio (UTSA)"
"@athleticcosmeticcompany",1,1,"","University of Virginia"
"@atlasempowersports",1,1,"","Old Dominion University"
"@att",1,1,"","Auburn University"
"@atworthapartments",1,1,"","University of Maryland"
"@auburn.nil.store",1,1,"likely_agency_or_collective","Auburn University"
"@auburnequestrian",1,1,"","Auburn University"
"@auburnfootball",1,1,"likely_team_page","Auburn University"
"@auburnnil",1,1,"likely_agency_or_collective","Auburn University"
"@auburntfxc",1,1,"likely_team_page","Auburn University"
"@audemarspiguet",1,1,"","Louisiana State University"
"@aujungle",1,1,"","Auburn University"
"@auprovolleyball",1,1,"","University of Nebraska"
"@auraskypool.dubai",1,1,"","Penn State University"
"@ausomenutrition",1,1,"","Auburn University"
"@authentikstitchez_",1,1,"","Old Dominion University"
"@azenaindustries",1,1,"","Texas A&M"
"@azteclink_nil",1,1,"likely_agency_or_collective","Baylor"
"@b1gvolleyball",1,1,"","University of Maryland"
"@bacchampionathlete",1,1,"","University of Texas at San Antonio (UTSA)"
"@backyard_barbeque_",1,1,"","Penn State University"
"@badbirdie",1,1,"","Baylor"
"@bagelsngrinds",1,1,"","University of Maryland"
"@balicustomizedtours",1,1,"","Baylor"
"@balldawgs",1,1,"","Louisiana State University"
"@Baller.Bites",1,1,"","Louisiana State University"
"@ballersocial",1,1,"","Baylor"
"@baseballamerica",1,1,"","Auburn University"
"@bassproshops",1,1,"","Baylor"
"@batlab",1,1,"","Louisiana State University"
"@baumhowersauburn",1,1,"","Auburn University"
"@bayloracrotumb",1,1,"","Baylor"
"@baylorbears",1,1,"","Baylor"
"@baylorfutbol",1,1,"","Baylor"
"@baylorwbb",1,1,"likely_team_page","Baylor"
"@bayouwildtv",1,1,"likely_media_or_publisher","Louisiana State University"
"@bcmegabasket",1,1,"","Auburn University"
"@beauprib",1,1,"","Penn State University"
"@beausthetics_",1,1,"","University of Nebraska"
"@beautybrows_oc",1,1,"","Baylor"
"@beckerwraps",1,1,"","Texas A&M"
"@Beis",1,1,"","Louisiana State University"
"@bengalproducts",1,1,"","Louisiana State University"
"@betterment",1,1,"","Auburn University"
"@bigeasyblitz",1,1,"","Louisiana State University"
"@biglime",1,1,"","University of Texas at San Antonio (UTSA)"
"@bigmikesauburn",1,1,"","Auburn University"
"@bigtennetwork",1,1,"likely_media_or_publisher","Penn State University"
"@bilbaobasket",1,1,"","University of Virginia"
"@biolyte",1,1,"","Auburn University"
"@bjornborg",1,1,"","University of Virginia"
"@blackcobrabaseball",1,1,"","Auburn University"
"@blackwoodformen",1,1,"","Michigan State"
"@blairbaseball",1,1,"","University of Nebraska"
"@bleachertalkbaseball",1,1,"","Louisiana State University"
"@blockandtacklefishingco",1,1,"","Old Dominion University"
"@BloodworksNW",1,1,"","University of Central Florida"
"@bluejacketsnhl",1,1,"","Penn State University"
"@blueprint4d1",1,1,"","University of Virginia"
"@bluestripescacao",1,1,"","Baylor"
"@bmart_42",1,1,"","University of Maryland"
"@bodcraft",1,1,"","University of Nebraska"
"@bodybyraventracy",1,1,"","Baylor"
"@boerengoedenbosch",1,1,"","University of Virginia"
"@bootupcustoms",1,1,"","Louisiana State University"
"@borsheims",1,1,"","University of Nebraska"
"@bose",1,1,"","University of Virginia"
"@bottegaveneta",1,1,"","University of Maryland"
"@bouncepass",1,1,"","University of Nebraska"
"@boyardees",1,1,"","University of Nebraska"
"@brafb",1,1,"","University of Virginia"
"@brailhighlights",1,1,"","University of Virginia"
"@brl_sports_athletes",1,1,"","University of Texas at San Antonio (UTSA)"
"@brooklynbedding",1,1,"","Penn State University"
"@brooks",1,1,"","Penn State University"
"@brookshirebrothers",1,1,"","Texas A&M"
"@brotherton_cadillac",1,1,"","University of Maryland"
"@brucebolt.us",1,1,"","University of Central Florida"
"@buc-ees",1,1,"","Old Dominion University"
"@bufootball",1,1,"","Baylor"
"@burgeonstreetwear",1,1,"","Old Dominion University"
"@burloakindoorgolf",1,1,"","Penn State University"
"@buy.vlm",1,1,"","University of Maryland"
"@c4",1,1,"","University of Nebraska"
"@caahockey",1,1,"","Penn State University"
"@cadddden",1,1,"","Baylor"
"@callawaygolfeu",1,1,"","Louisiana State University"
"@campozarklive",1,1,"likely_agency_or_collective","Texas A&M"
"@canes",1,1,"","Penn State University"
"@capitolhoops",1,1,"","Michigan State"
"@caprisun",1,1,"","Penn State University"
"@captainmorgan",1,1,"","Texas A&M"
"@caravel",1,1,"","University of Maryland"
"@carozzi_meencanta",1,1,"","Penn State University"
"@carter.schade2",1,1,"","Penn State University"
"@carwise",1,1,"","Penn State University"
"@Caseys",1,1,"","University of Nebraska"
"@caseysgasstation",1,1,"","University of Nebraska"
"@castro_shutup",1,1,"","Baylor"
"@cava",1,1,"","University of Virginia"
"@cbssports",1,1,"","Baylor"
"@cbssportscfb",1,1,"","University of Nebraska"
"@ccmhockey",1,1,"","Penn State University"
"@celsiusofficial",1,1,"","Auburn University"
"@chc.baseball",1,1,"","University of Maryland"
"@chechelonmethod",1,1,"","University of Nebraska"
"@cheezit",1,1,"","University of Virginia"
"@chefboyardee",1,1,"","University of Texas at San Antonio (UTSA)"
"@chevrolet",1,1,"","Auburn University"
"@chevy",1,1,"","Old Dominion University"
"@chipsymarbo",1,1,"","University of Virginia"
"@chlhockey",1,1,"","Penn State University"
"@chocolatemilk",1,1,"","Texas A&M"
"@christianjdionne1",1,1,"","Penn State University"
"@christianlouboutin",1,1,"","Penn State University"
"@churchillblakedown",1,1,"","University of Texas at San Antonio (UTSA)"
"@ciella_pickett",1,1,"","Louisiana State University"
"@cisco",1,1,"","Baylor"
"@citrusbowl",1,1,"","Texas A&M"
"@cjiofficial",1,1,"","Penn State University"
"@cleansimpleeats",1,1,"","Penn State University"
"@clifbar",1,1,"","Penn State University"
"@cliffkeenathletic",1,1,"","University of Virginia"
"@cnpcampuscrew",1,1,"likely_agency_or_collective","University of Texas at San Antonio (UTSA)"
"@cocacola",1,1,"","Louisiana State University"
"@coltonchmelar",1,1,"","Texas A&M"
"@combatmfg",1,1,"","Auburn University"
"@committedcombine",1,1,"","Penn State University"
"@communitytrustbank",1,1,"","Louisiana State University"
"@containerstore",1,1,"","Baylor"
"@coopercousins",1,1,"","Penn State University"
"@copperfit",1,1,"","University of Virginia"
"@core_reformerpilates",1,1,"","University of Virginia"
"@corinthianinsurance",1,1,"","Baylor"
"@cortsofficial",1,1,"","University of Nebraska"
"@corygfitness",1,1,"","University of Virginia"
"@cottonelle",1,1,"","Auburn University"
"@countrytireautomotive",1,1,"","University of Nebraska"
"@cowfish",1,1,"","University of Virginia"
"@craverrr",1,1,"","Texas A&M"
"@crazyb10",1,1,"","University of Virginia"
"@crea_gums",1,1,"","Baylor"
"@crest",1,1,"","Texas A&M"
"@crestcars",1,1,"","Texas A&M"
"@crownsporthorses",1,1,"","Baylor"
"@cselax",1,1,"","Penn State University"
"@cultura_tattoo",1,1,"","Baylor"
"@cyclonefb",1,1,"","Michigan State"
"@d1baseball",1,1,"","Louisiana State University"
"@daniprunzik",1,1,"","Penn State University"
"@darkhorse.nyc",1,1,"","Louisiana State University"
"@datefix",1,1,"","Texas A&M"
"@daveshotchicken",1,1,"","Louisiana State University"
"@dayspringbank",1,1,"","University of Nebraska"
"@dcarvalholaw",1,1,"","Louisiana State University"
"@dcelectricalalliance",1,1,"","Penn State University"
"@defeatxsports",1,1,"","Old Dominion University"
"@delaneycdjrdubois",1,1,"","Penn State University"
"@delicato.se",1,1,"","Penn State University"
"@derbylanellc",1,1,"","Baylor"
"@derm_sportswear",1,1,"","University of Nebraska"
"@dhairboutique",1,1,"","Texas A&M"
"@diamondsdirect",1,1,"","Baylor"
"@dickandersonconstruction",1,1,"","Michigan State"
"@dicks",1,1,"","Baylor"
"@dillardscampuscollective",1,1,"likely_agency_or_collective","Louisiana State University"
"@dimemagazine",1,1,"","Louisiana State University"
"@dingerzbydelaney",1,1,"","Auburn University"
"@disney",1,1,"","Baylor"
"@disneyparks",1,1,"","Penn State University"
"@dita",1,1,"","University of Virginia"
"@ditausa",1,1,"","University of Virginia"
"@divebombindustries",1,1,"","University of Texas at San Antonio (UTSA)"
"@dmfashionbook",1,1,"","Louisiana State University"
"@dominick.9913",1,1,"","University of Texas at San Antonio (UTSA)"
"@drink_phx",1,1,"","Baylor"
"@drinkbiolyte",1,1,"","Louisiana State University"
"@drinkhalfday",1,1,"","Baylor"
"@drinklevl",1,1,"","Penn State University"
"@drinkunwell",1,1,"","Auburn University"
"@dripathletes",1,1,"","Michigan State"
"@drmtlgy",1,1,"","University of Central Florida"
"@drteals",1,1,"","Baylor"
"@drybarshops_lincolnsouthpointe",1,1,"","University of Nebraska"
"@duckdonuts",1,1,"","Penn State University"
"@ducksofafeather",1,1,"","University of Maryland"
"@dukefootball",1,1,"","Texas A&M"
"@duncanscustomkicks",1,1,"","Louisiana State University"
"@easportsnhl",1,1,"","Penn State University"
"@east_coast_pro",1,1,"","Auburn University"
"@eatmezeh",1,1,"","Penn State University"
"@ecexpress",1,1,"","Texas A&M"
"@ediblecapitolcitybr",1,1,"","Louisiana State University"
"@einsteinenergylab",1,1,"","Baylor"
"@electro",1,1,"","University of Texas at San Antonio (UTSA)"
"@eleve",1,1,"","Baylor"
"@ellechina",1,1,"","Baylor"
"@emgsports",1,1,"","Penn State University"
"@emmisellman",1,1,"","Penn State University"
"@emporioarmani",1,1,"","Baylor"
"@engorganrecovery",1,1,"","Texas A&M"
"@enterprisehoops",1,1,"","Auburn University"
"@epdesigndistrict",1,1,"","Auburn University"
"@epicfastpitcho",1,1,"","Baylor"
"@epsontour",1,1,"","Penn State University"
"@eraorganics",1,1,"","Texas A&M"
"@erikcaddeoperformancehorses",1,1,"","Baylor"
"@esbjerg_fb",1,1,"","Penn State University"
"@eternalwater",1,1,"","Baylor"
"@eunova",1,1,"","University of Virginia"
"@eurobasketwomen",1,1,"","Penn State University"
"@euroopticltd",1,1,"","Penn State University"
"@evo_gymnastics",1,1,"","Penn State University"
"@excel",1,1,"","Auburn University"
"@fabletics",1,1,"","University of Nebraska"
"@fanarchco",1,1,"","Penn State University"
"@fanatic_wrestling",1,1,"","Penn State University"
"@fangexchange",1,1,"","Auburn University"
"@fcalacrosse",1,1,"","Penn State University"
"@fcawpacnw",1,1,"","Penn State University"
"@fedmexgolf",1,1,"","University of Texas at San Antonio (UTSA)"
"@feelgoods.co",1,1,"","Baylor"
"@fentybeauty",1,1,"","Baylor"
"@fifththirdbank",1,1,"","University of Maryland"
"@filthywraps_",1,1,"","Texas A&M"
"@finalwhistlewealth",1,1,"","Auburn University"
"@findlaysridgellc",1,1,"","Auburn University"
"@fitbiomics",1,1,"","Auburn University"
"@fitermansports",1,1,"","Texas A&M"
"@flawlesshouston",1,1,"","Louisiana State University"
"@flipthescript.store",1,1,"","Texas A&M"
"@floridafashionshows",1,1,"","University of Central Florida"
"@flowool_official",1,1,"","Texas A&M"
"@fmolhealth",1,1,"","Louisiana State University"
"@ford",1,1,"","Auburn University"
"@foresightsports",1,1,"","University of Virginia"
"@foresightsports_upnext",1,1,"","University of Texas at San Antonio (UTSA)"
"@foreverlastinc",1,1,"","Texas A&M"
"@forme.science",1,1,"","Texas A&M"
"@formi",1,1,"","Auburn University"
"@fortnite",1,1,"","Louisiana State University"
"@foundationlacrosse",1,1,"likely_agency_or_collective","Penn State University"
"@fourthwall",1,1,"","Michigan State"
"@franklinsports",1,1,"","Louisiana State University"
"@freemanswimming",1,1,"","University of Virginia"
"@fsga1913",1,1,"","Penn State University"
"@fuegotortilla",1,1,"","Texas A&M"
"@furyplatinum",1,1,"","Louisiana State University"
"@g2a_com",1,1,"","Baylor"
"@gamersparadise77",1,1,"","Louisiana State University"
"@garminchile",1,1,"","Penn State University"
"@GarminRunning",1,1,"","University of Virginia"
"@gatoradepoy",1,1,"","Louisiana State University"
"@geeked.studio",1,1,"","Louisiana State University"
"@geertreefarm",1,1,"","University of Virginia"
"@getupespn",1,1,"likely_media_or_publisher","Baylor"
"@gfuelenergy",1,1,"","University of Texas at San Antonio (UTSA)"
"@gianarosecouture",1,1,"","Penn State University"
"@giftedonellc",1,1,"","Michigan State"
"@giftofgabb3",1,1,"","University of Virginia"
"@gillyg7",1,1,"","Penn State University"
"@gkelite",1,1,"","Auburn University"
"@glencoeinv",1,1,"","University of Texas at San Antonio (UTSA)"
"@gmerkle04",1,1,"","Penn State University"
"@goat_coats",1,1,"","Michigan State"
"@goinyardgloves",1,1,"","University of Nebraska"
"@goldstarbarberstudio",1,1,"","Texas A&M"
"@golflounge18",1,1,"","University of Virginia"
"@golftorrequebrada",1,1,"","Baylor"
"@goodfeet",1,1,"","University of Virginia"
"@goodrpartner",1,1,"","Auburn University"
"@gqdough",1,1,"","Baylor"
"@graduatehotels",1,1,"","University of Nebraska"
"@grazingfields",1,1,"","Baylor"
"@greatclips",1,1,"","University of Texas at San Antonio (UTSA)"
"@greenwavefb",1,1,"","Baylor"
"@grubhub",1,1,"","Michigan State"
"@grunsdaily",1,1,"","Baylor"
"@gxgexchange",1,1,"","Baylor"
"@gymstylecom",1,1,"","Baylor"
"@hailvarsity",1,1,"","University of Nebraska"
"@hamiltonisbusiness",1,1,"","University of Nebraska"
"@hammerheadsthrows",1,1,"","University of Virginia"
"@hamptonworkout",1,1,"","University of Maryland"
"@hannah.g.jordan_",1,1,"","Penn State University"
"@happyvalleyunited",1,1,"","Penn State University"
"@haywardmagic",1,1,"","Texas A&M"
"@heartoftexasgoodwill",1,1,"","Baylor"
"@heathstreet_",1,1,"","University of Nebraska"
"@heatonfeetfootwear",1,1,"","Baylor"
"@heikkinenyhtiot",1,1,"","University of Virginia"
"@heismantrophy",1,1,"","University of Nebraska"
"@hellstar",1,1,"","Old Dominion University"
"@hermes",1,1,"","Auburn University"
"@heyymountain",1,1,"","University of Maryland"
"@holy.athletes",1,1,"","Louisiana State University"
"@homedepot",1,1,"","Penn State University"
"@hometownheronil",1,1,"likely_agency_or_collective","University of Maryland"
"@hoopersloop",1,1,"","Michigan State"
"@hoopgroup",1,1,"","Penn State University"
"@hoopmovie",1,1,"","University of Virginia"
"@houstonmethodist",1,1,"","Louisiana State University"
"@houstonskyline",1,1,"","Baylor"
"@huegahouse",1,1,"","Texas A&M"
"@hurrdatbrandgoods",1,1,"","University of Nebraska"
"@huskermgym",1,1,"likely_team_page","University of Nebraska"
"@huskervb",1,1,"likely_team_page","University of Nebraska"
"@huskerwbb",1,1,"likely_team_page","University of Nebraska"
"@hussperformancehorses",1,1,"","Auburn University"
"@i9_sports",1,1,"","University of Maryland"
"@identitysports_official",1,1,"","Louisiana State University"
"@impactsportspt",1,1,"","Penn State University"
"@influxerhailstate",1,1,"","University of Nebraska"
"@init_brand",1,1,"","University of Central Florida"
"@innoutburgers",1,1,"","University of Virginia"
"@InShapeDates",1,1,"","University of Central Florida"
"@insidecheer",1,1,"","Baylor"
"@instanthydration",1,1,"","Louisiana State University"
"@invincible.hq",1,1,"","University of Texas at San Antonio (UTSA)"
"@invisalign",1,1,"","Louisiana State University"
"@ironroosterallday",1,1,"","University of Maryland"
"@iwcoffeeandchaibar",1,1,"","Penn State University"
"@jackeporterr",1,1,"","Penn State University"
"@jacobian00",1,1,"","Louisiana State University"
"@jaeger",1,1,"","Baylor"
"@jahmallll",1,1,"","University of Virginia"
"@jalenworthley",1,1,"","University of Nebraska"
"@jawbats.softball",1,1,"","University of Maryland"
"@jayden.davis_15",1,1,"","Penn State University"
"@jerseymikes",1,1,"","Texas A&M"
"@jerseyupofficial",1,1,"","Michigan State"
"@jferg.49",1,1,"","Louisiana State University"
"@jimmiswimwear",1,1,"","Baylor"
"@jimmybars",1,1,"","Penn State University"
"@jl3elite",1,1,"","Baylor"
"@joeysenstock",1,1,"","University of Nebraska"
"@johnfrieda",1,1,"","Baylor"
"@johnnieobrand",1,1,"","Louisiana State University"
"@johnnysph",1,1,"","Louisiana State University"
"@johnsonandjohnson",1,1,"","Penn State University"
"@jolyn_europe",1,1,"","Louisiana State University"
"@joneschiropracticomaha",1,1,"","University of Nebraska"
"@jordan.ballin",1,1,"","University of Texas at San Antonio (UTSA)"
"@joseolecentral",1,1,"","Texas A&M"
"@josephorlandoclothiers",1,1,"","Penn State University"
"@joshvaughn0",1,1,"","University of Texas at San Antonio (UTSA)"
"@journey.group",1,1,"","Baylor"
"@jrorangebowl",1,1,"","Louisiana State University"
"@jucyshamburgers",1,1,"","Texas A&M"
"@just.ingredients",1,1,"","Texas A&M"
"@k.artis58",1,1,"","Penn State University"
"@kanefootwear",1,1,"","Penn State University"
"@kbobkoreanstreetfood",1,1,"","University of Central Florida"
"@keaton.peters9",1,1,"","Penn State University"
"@keepabreast",1,1,"","University of Virginia"
"@kellerwilliamsrealty",1,1,"","Michigan State"
"@kenny.oz6",1,1,"","University of Texas at San Antonio (UTSA)"
"@kentuckyfriedchicken",1,1,"","Texas A&M"
"@kia",1,1,"","Louisiana State University"
"@kindmediallc",1,1,"likely_media_or_publisher","Auburn University"
"@kirschbaumbrasil_",1,1,"","Louisiana State University"
"@kranichs",1,1,"","Penn State University"
"@kswarnock",1,1,"","University of Nebraska"
"@kt.worldwide_",1,1,"","Baylor"
"@kycauses",1,1,"","University of Virginia"
"@lacolombecoffee",1,1,"","Auburn University"
"@lah.stamps",1,1,"","Louisiana State University"
"@lamborghini",1,1,"","Baylor"
"@lane38_",1,1,"","Louisiana State University"
"@LansingBrewingCompany",1,1,"","Michigan State"
"@leegreenbasketball",1,1,"","Texas A&M"
"@legionprotective",1,1,"","Louisiana State University"
"@leopardreamzbengals",1,1,"","University of Nebraska"
"@levelupfitnessjax",1,1,"","University of Virginia"
"@levi_haines77",1,1,"","Penn State University"
"@LiamCliff2",1,1,"","Penn State University"
"@lids",1,1,"","Texas A&M"
"@liftsportsmanagement",1,1,"likely_agency_or_collective","Louisiana State University"
"@litt_strength",1,1,"","Baylor"
"@livefreshpitt",1,1,"","Penn State University"
"@livegood_company",1,1,"","University of Texas at San Antonio (UTSA)"
"@livestudentquarters",1,1,"","Baylor"
"@livvaudio",1,1,"","Baylor"
"@ljbrown233",1,1,"","University of Texas at San Antonio (UTSA)"
"@lockedin.athletics",1,1,"","University of Nebraska"
"@lostbucksranch",1,1,"","Louisiana State University"
"@lottotennis",1,1,"","Auburn University"
"@louisianaloaded",1,1,"","Louisiana State University"
"@lovb",1,1,"","Louisiana State University"
"@lovbmad",1,1,"","University of Nebraska"
"@loveyourself",1,1,"","Auburn University"
"@lowkeydevoted.us",1,1,"","University of Central Florida"
"@lsubeachvb",1,1,"likely_team_page","Louisiana State University"
"@lsusoccer",1,1,"likely_team_page","Louisiana State University"
"@lsusoftball",1,1,"likely_team_page","Louisiana State University"
"@lsuwbkb",1,1,"","Louisiana State University"
"@lucchese",1,1,"","Texas A&M"
"@luke.miller10",1,1,"","Texas A&M"
"@lukewalstrum",1,1,"","Penn State University"
"@luxuryautomall",1,1,"","University of Nebraska"
"@lvbowl",1,1,"","Texas A&M"
"@lvhnsports",1,1,"","Penn State University"
"@maaxgum",1,1,"","Louisiana State University"
"@maccosmetics",1,1,"","Baylor"
"@madisonaveglasses",1,1,"","Louisiana State University"
"@madseasonllc",1,1,"","Baylor"
"@maeliemonfils",1,1,"","Penn State University"
"@magnoliatuscaloosa",1,1,"","Baylor"
"@maizly",1,1,"","Auburn University"
"@major_nine",1,1,"","Auburn University"
"@malvernprep",1,1,"","Penn State University"
"@MannellyAward",1,1,"","Penn State University"
"@mapgajrgolf",1,1,"","University of Virginia"
"@marathonfuel",1,1,"","Michigan State"
"@marchmadnesswbb",1,1,"","University of Virginia"
"@marketpryce",1,1,"","Texas A&M"
"@marsplanetshockey",1,1,"","Penn State University"
"@maruccisports",1,1,"","Louisiana State University"
"@maryland.nil.store",1,1,"likely_agency_or_collective","University of Maryland"
"@materiallab",1,1,"","Louisiana State University"
"@max_out_mindset",1,1,"","Baylor"
"@mbofatlne",1,1,"","Auburn University"
"@mcdlacrosse",1,1,"","University of Virginia"
"@mcdonalds",1,1,"","Baylor"
"@mclanechildrens",1,1,"","Baylor"
"@mdstennisproshop",1,1,"","Louisiana State University"
"@meangreenfb",1,1,"","Baylor"
"@meco",1,1,"","Penn State University"
"@medalistskin",1,1,"","University of Texas at San Antonio (UTSA)"
"@mellossy_beauty",1,1,"","Baylor"
"@melmarieskincare",1,1,"","Louisiana State University"
"@mensluxuryspa",1,1,"","University of Central Florida"
"@mercedesbenztysonscorner",1,1,"","University of Virginia"
"@metrovbc",1,1,"","University of Virginia"
"@mia.scranton",1,1,"","Texas A&M"
"@micbrice",1,1,"","Penn State University"
"@midwaysoftball",1,1,"","Baylor"
"@mikethejewelerr",1,1,"","Louisiana State University"
"@milesplit",1,1,"","University of Virginia"
"@milesplitsoutheast",1,1,"","University of Virginia"
"@milosburgershop",1,1,"","Auburn University"
"@minkycouture",1,1,"","University of Nebraska"
"@mirrorlessapparel",1,1,"","Louisiana State University"
"@mixpotion.co",1,1,"","University of Texas at San Antonio (UTSA)"
"@mizuholpga",1,1,"","Texas A&M"
"@mizzen",1,1,"","Louisiana State University"
"@mizzoutfxc",1,1,"","Texas A&M"
"@mmschocolate",1,1,"","Baylor"
"@mogl",1,1,"","Louisiana State University"
"@monster",1,1,"","Penn State University"
"@monsterenergy",1,1,"","Texas A&M"
"@mooremyoworxdenver",1,1,"","Baylor"
"@moreau_sport_usa",1,1,"","Michigan State"
"@moreto4foundation",1,1,"likely_agency_or_collective","Louisiana State University"
"@morgan_marshall1434",1,1,"","Penn State University"
"@morlynnfarm",1,1,"","Baylor"
"@movemountainshq",1,1,"","Baylor"
"@movesportandspineapparel",1,1,"","University of Central Florida"
"@musclemilk",1,1,"","Baylor"
"@mvpwhitetails",1,1,"","Baylor"
"@myplayersoftball",1,1,"","Louisiana State University"
"@nai_.officialll",1,1,"","Louisiana State University"
"@narcanofficial",1,1,"","Texas A&M"
"@nathanpayneofficial",1,1,"","Penn State University"
"@nayahoward01",1,1,"","Michigan State"
"@nb.bespoke",1,1,"","Penn State University"
"@nba2k",1,1,"","Baylor"
"@NCAA",1,1,"","Penn State University"
"@nebraskaentrepreneurship",1,1,"","University of Nebraska"
"@nedbank",1,1,"","Louisiana State University"
"@nesbitdigitalsports",1,1,"","Penn State University"
"@nestledownllc",1,1,"","Auburn University"
"@NewEra",1,1,"","University of Central Florida"
"@newrestle",1,1,"","University of Virginia"
"@newvrsn1",1,1,"","University of Texas at San Antonio (UTSA)"
"@nextgen.scholarships",1,1,"","University of Virginia"
"@Nextiva",1,1,"","University of Texas at San Antonio (UTSA)"
"@nexus_health_tools",1,1,"","University of Central Florida"
"@nfinityshoes",1,1,"","Baylor"
"@nhlflames",1,1,"","Penn State University"
"@niche.hair.co",1,1,"","Louisiana State University"
"@nikebasketball",1,1,"","Baylor"
"@nikeeybl",1,1,"","Baylor"
"@nikerunning",1,1,"","Baylor"
"@nikesportswear",1,1,"","University of Virginia"
"@nikestrength",1,1,"","Baylor"
"@nil.store___",1,1,"likely_agency_or_collective","Michigan State"
"@nilelite.sluggers",1,1,"likely_agency_or_collective","Baylor"
"@nissan",1,1,"","Louisiana State University"
"@nissanrogue",1,1,"","Louisiana State University"
"@nolimitationstexas",1,1,"","Baylor"
"@northshore_equestrian",1,1,"","Auburn University"
"@nusendacu",1,1,"","University of New Mexico"
"@nutribullet",1,1,"","University of Virginia"
"@nutriwavejuices",1,1,"","Auburn University"
"@nyxcosmetics",1,1,"","Baylor"
"@octobersky.pec",1,1,"","Penn State University"
"@odu_wbb",1,1,"likely_team_page","Old Dominion University"
"@officialspacemilk",1,1,"","Penn State University"
"@OlaivaVega_",1,1,"","Penn State University"
"@olemissthread",1,1,"","Auburn University"
"@olyclubfieldhockey",1,1,"","University of Virginia"
"@olympiafencingcenter",1,1,"","Penn State University"
"@omahasteaks",1,1,"","University of Nebraska"
"@oneathlete_app",1,1,"","University of Virginia"
"@onebonebrand",1,1,"","Texas A&M"
"@oneman.us",1,1,"","Auburn University"
"@onemarylandnil",1,1,"likely_agency_or_collective","Auburn University"
"@oneontajjacademy",1,1,"likely_agency_or_collective","Penn State University"
"@onitathlete",1,1,"","Texas A&M"
"@oreos",1,1,"","Penn State University"
"@originalchopshop",1,1,"","Penn State University"
"@ornery_beer_public_house",1,1,"","George Mason"
"@orphic_bou",1,1,"","University of Nebraska"
"@osakahockey",1,1,"","Penn State University"
"@OurMomsRestaurant",1,1,"","Louisiana State University"
"@out2win",1,1,"","University of Nebraska"
"@ovationformen",1,1,"","Penn State University"
"@overtime",1,1,"","Baylor"
"@overtimeszn",1,1,"","University of Nebraska"
"@ozoneleos.com",1,1,"","Auburn University"
"@p1440",1,1,"","Louisiana State University"
"@pachub_",1,1,"","Penn State University"
"@packnilmerch",1,1,"likely_agency_or_collective","University of Maryland"
"@paniniamerica",1,1,"","Louisiana State University"
"@papas_culver",1,1,"","Texas A&M"
"@paramountplus",1,1,"","Penn State University"
"@parklandssportsclubnairobi",1,1,"","Auburn University"
"@passionhoops",1,1,"","University of Virginia"
"@peakusagolf",1,1,"","University of Texas at San Antonio (UTSA)"
"@pearcebespoke",1,1,"","Louisiana State University"
"@pearcebespokebatonrouge",1,1,"","Louisiana State University"
"@pearl_valley",1,1,"","Louisiana State University"
"@penguins",1,1,"","Penn State University"
"@pennstatebase",1,1,"","Penn State University"
"@pennstatemlax",1,1,"","Penn State University"
"@pennstatemsoc",1,1,"","Penn State University"
"@pennstatesb",1,1,"","Penn State University"
"@pennstatetfxc",1,1,"likely_team_page","Penn State University"
"@pennstatewgolf",1,1,"likely_team_page","Penn State University"
"@pennstatewhky",1,1,"","Penn State University"
"@pennstatewlax",1,1,"","Penn State University"
"@pennstatewrest",1,1,"likely_team_page","Penn State University"
"@Pepsi",1,1,"","Penn State University"
"@perceptioncollective",1,1,"likely_agency_or_collective","Louisiana State University"
"@perfectbar",1,1,"","Auburn University"
"@performancegum",1,1,"","Michigan State"
"@pevspaintball",1,1,"","University of Virginia"
"@phenomelite",1,1,"","Baylor"
"@phillies",1,1,"","Baylor"
"@phillyrunza",1,1,"","University of Nebraska"
"@phitenusa",1,1,"","University of Virginia"
"@piedmonthealthcare",1,1,"","Michigan State"
"@pinapo",1,1,"","University of Virginia"
"@pinehurstresort",1,1,"","Baylor"
"@pingjrsolheimcupeurope",1,1,"","Louisiana State University"
"@pitchsafe.co",1,1,"","University of Texas at San Antonio (UTSA)"
"@plainsman_podcast",1,1,"likely_media_or_publisher","Auburn University"
"@planetslax",1,1,"","Penn State University"
"@platform1440",1,1,"","Louisiana State University"
"@playabowlseastlansing",1,1,"","Michigan State"
"@pncbank",1,1,"","Auburn University"
"@podiumsport.co.il",1,1,"","Auburn University"
"@ponyflo",1,1,"","Louisiana State University"
"@PopStroke",1,1,"","Texas A&M"
"@poptartsus",1,1,"","Texas A&M"
"@PorkRindsDotCom",1,1,"","Penn State University"
"@portersdiningbar",1,1,"","Texas A&M"
"@portugal_golf",1,1,"","Texas A&M"
"@powerade",1,1,"","University of Virginia"
"@powerplateusa",1,1,"","University of Nebraska"
"@prada",1,1,"","University of Virginia"
"@prana_iv_wellness",1,1,"","Penn State University"
"@prclubusa",1,1,"","Penn State University"
"@preachathleticlab",1,1,"","Louisiana State University"
"@predsnhl",1,1,"","Penn State University"
"@premierathleteagency",1,1,"likely_agency_or_collective","Auburn University"
"@premierwindowtintinglnk",1,1,"","University of Nebraska"
