handle,total_posts,school_count,flags,schools
"@turtleboxaudio",6,3,"","Baylor | Louisiana State University | Michigan State"
"@a1autolincoln",5,1,"","University of Nebraska"
"@academy",5,2,"likely_agency_or_collective","Louisiana State University | Texas A&M"
"@allerica.aesthetics",5,2,"","University of Maryland | University of Nebraska"
"@allo.fiber",5,1,"","University of Nebraska"
"@anwagolf",5,2,"","Louisiana State University | Texas A&M"
"@bennyscarwash",5,2,"","Louisiana State University | University of Virginia"
"@dollarshaveclub",5,2,"","Louisiana State University | Texas A&M"
"@drinkdripdrop",5,3,"","Auburn University | Penn State University | University of Nebraska"
"@fansmeetidols",5,4,"","Auburn University | Michigan State | Penn State University | University of Nebraska"
"@fcmhonduras",5,1,"","Auburn University"
"@flaujae",5,1,"","Louisiana State University"
"@fnbo",5,1,"","University of Nebraska"
"@gatorade",5,4,"","Michigan State | Texas A&M | University of Maryland | University of Nebraska"
"@huskermbb",5,1,"likely_team_page","University of Nebraska"
"@influxerucf",5,1,"","University of Central Florida"
"@janemariestyle",5,1,"","Auburn University"
"@lansingbrewingco",5,1,"","Michigan State"
"@lululemon",5,3,"","Baylor | Texas A&M | University of Virginia"
"@millersalehouse",5,1,"","University of Central Florida"
"@on",5,1,"","Baylor"
"@perfectgameusa",5,4,"","Louisiana State University | Penn State University | Texas A&M | University of Nebraska"
"@phillips66gas",5,2,"","Baylor | University of Central Florida"
"@prideofodunil",5,1,"likely_agency_or_collective","Old Dominion University"
"@raid",5,1,"","Baylor"
"@selectproformance",5,3,"","Michigan State | Penn State University | University of Texas at San Antonio (UTSA)"
"@solegloryathletics",5,1,"","Auburn University"
"@strasburgerorthopaedics",5,1,"","University of Nebraska"
"@udenhoutgroep",5,1,"","University of Virginia"
"@walkons",5,2,"","Auburn University | Louisiana State University"
"@achotellansing",4,1,"","Michigan State"
"@arcticzone",4,1,"","Baylor"
"@bigbrandtire",4,1,"","Baylor"
"@callawaygolf",4,3,"","Auburn University | Louisiana State University | Texas A&M"
"@choptsalad",4,2,"","University of Maryland | University of Virginia"
"@CoachNY",4,3,"","Louisiana State University | Texas A&M | University of Maryland"
"@crumblcookie",4,1,"","Louisiana State University"
"@drinkprime",4,2,"","Baylor | University of Texas at San Antonio (UTSA)"
"@drinkpurekick",4,2,"","Baylor | University of Nebraska"
"@drpepper",4,2,"","Louisiana State University | Texas A&M"
"@fireflyrecovery",4,3,"","Baylor | Texas A&M | University of Central Florida"
"@happyvalleyagventures",4,1,"","Penn State University"
"@iherb",4,3,"","Baylor | Louisiana State University | University of Central Florida"
"@kinatraxinc",4,4,"","Baylor | Michigan State | Penn State University | University of Virginia"
"@lovesupremacy_",4,1,"","Old Dominion University"
"@midwestbank",4,1,"","University of Nebraska"
"@milkmeansmore",4,1,"","Michigan State"
"@mizunoswimusa",4,1,"","University of Virginia"
"@monopolypropertyservices",4,1,"","Texas A&M"
"@msu.nil.store",4,1,"likely_agency_or_collective","Michigan State"
"@nauticalbowlssavage",4,1,"","Penn State University"
"@nevadastatebank",4,1,"","University of Virginia"
"@onwardreserve",4,3,"","Auburn University | Baylor | Louisiana State University"
"@powerade_us",4,3,"","Louisiana State University | University of Central Florida | University of Virginia"
"@questnutrition",4,2,"","Penn State University | University of Nebraska"
"@renoja.oviedo",4,1,"","University of Central Florida"
"@rootsnk",4,1,"","University of Virginia"
"@savagexfenty",4,1,"","Baylor"
"@sixstarpronutrition",4,2,"","Baylor | University of Nebraska"
"@sonicdrivein",4,2,"","Louisiana State University | Texas A&M"
"@southernshirt",4,1,"","Auburn University"
"@tlfapparel",4,2,"","Baylor | University of Central Florida"
"@tyrsport",4,1,"","University of Virginia"
"@wearstand",4,2,"","Old Dominion University | University of Central Florida"
"@wendys",4,3,"","Louisiana State University | Penn State University | University of Texas at San Antonio (UTSA)"
"@xfinity",4,2,"","Penn State University | University of Maryland"
"@adidasbasketball",3,2,"","Baylor | Texas A&M"
"@ajgagolf",3,2,"","Texas A&M | University of Virginia"
"@arenainternational",3,1,"","University of Virginia"
"@arenastore_cl",3,1,"","Penn State University"
"@armanibeauty",3,2,"","Baylor | Penn State University"
"@bigten",3,1,"","Penn State University"
"@brownboy.nation",3,1,"","University of Maryland"
"@callawaynexteu",3,2,"","Baylor | Louisiana State University"
"@casadobrasil",3,1,"","Baylor"
"@casadobrasilwaco",3,1,"","Baylor"
"@cavenders",3,1,"","Baylor"
"@checkersrallys",3,3,"","Texas A&M | University of Central Florida | University of Maryland"
"@columbiapfg",3,1,"","Louisiana State University"
"@crackerbarrel",3,1,"","Auburn University"
"@dandyworldwide",3,2,"","Penn State University | University of Nebraska"
"@daves_pest_control",3,1,"","University of Central Florida"
"@dballusa",3,1,"","Penn State University"
"@dickshouseofsport",3,2,"","Louisiana State University | Old Dominion University"
"@dovemencare",3,1,"","Louisiana State University"
"@drinkpoppi",3,3,"","Michigan State | Penn State University | Texas A&M"
"@drnx",3,1,"","Penn State University"
"@dudewipes",3,1,"","Auburn University"
"@eastonbaseball",3,2,"","University of Maryland | University of Texas at San Antonio (UTSA)"
"@ecdlax",3,2,"","Penn State University | University of Virginia"
"@edikted",3,3,"","Baylor | Penn State University | University of Virginia"
"@fellermanciarimboli",3,1,"","Penn State University"
"@fruitriot",3,2,"","Michigan State | University of Texas at San Antonio (UTSA)"
"@gat_sport",3,2,"","Michigan State | University of Texas at San Antonio (UTSA)"
"@geauxchiro",3,1,"","Louisiana State University"
"@golfrsa",3,1,"","Louisiana State University"
"@goodr",3,2,"","Auburn University | Louisiana State University"
"@harpersstatecollege",3,1,"","Penn State University"
"@herculesfence",3,1,"","University of Maryland"
"@huskerfootball",3,1,"likely_team_page","University of Nebraska"
"@influxermerch",3,3,"","Old Dominion University | University of Texas at San Antonio (UTSA) | University of Virginia"
"@influxerutsa",3,1,"","University of Texas at San Antonio (UTSA)"
"@jumpman23",3,1,"","Louisiana State University"
"@junklessfoods",3,1,"","University of Central Florida"
"@kiausa",3,1,"","University of Central Florida"
"@lightspeedlift",3,1,"","University of Virginia"
"@liquidiv",3,3,"","Auburn University | University of Central Florida | University of Texas at San Antonio (UTSA)"
"@mendozapachecomcds",3,1,"","University of Texas at San Antonio (UTSA)"
"@mint_tinting",3,1,"","Texas A&M"
"@nashcampofficial",3,1,"likely_agency_or_collective","Baylor"
"@neweracap",3,3,"","Baylor | Texas A&M | University of Central Florida"
"@optimum",3,1,"","Texas A&M"
"@outthepadsent",3,1,"","University of Virginia"
"@palottery",3,1,"","Penn State University"
"@pockyusa",3,2,"","Baylor | University of Nebraska"
"@puma",3,1,"","Louisiana State University"
"@representbaseball",3,2,"","Penn State University | University of Nebraska"
"@representthecode",3,3,"","Auburn University | Penn State University | University of Maryland"
"@RockinProtein",3,2,"","Penn State University | University of Central Florida"
"@room2roommovers",3,1,"","Auburn University"
"@roots",3,1,"","University of Virginia"
"@rtithreads",3,1,"","University of Nebraska"
"@siggisdairy",3,1,"","Penn State University"
"@solaroshades",3,2,"","University of Central Florida | University of Nebraska"
"@solthejeweler",3,1,"","Louisiana State University"
"@sweet_grown_alabama",3,1,"","Auburn University"
"@teamavoli",3,1,"","University of Nebraska"
"@tmobile",3,2,"","Penn State University | Texas A&M"
"@tryonvo",3,1,"","Penn State University"
"@undrdogathletix",3,3,"","Baylor | Louisiana State University | University of Texas at San Antonio (UTSA)"
"@venmo",3,1,"","Penn State University"
"@verizonbusiness",3,1,"","University of Virginia"
"@vividseats",3,1,"","University of Nebraska"
"@wareagleplus",3,1,"","Auburn University"
"@wellsfargo",3,1,"","Texas A&M"
"@wereback.co",3,1,"","University of Nebraska"
"@whataburger",3,3,"","Auburn University | Louisiana State University | Texas A&M"
"@yellawood",3,1,"","Auburn University"
"stanleysborden",3,1,"","University of Texas at San Antonio (UTSA)"
"@1stphorm",2,1,"","Penn State University"
"@402creamery",2,1,"","University of Nebraska"
"@abbottglobal",2,1,"","University of Nebraska"
"@actionplumbingandhvac",2,1,"","University of Nebraska"
"@AggieFootball",2,1,"likely_team_page","Texas A&M"
"@aggiemensgolf",2,1,"likely_team_page","Texas A&M"
"@aldis",2,1,"","Old Dominion University"
